"scenario_id","study","rep","generator","n","nu","ok","convergence","strict_success","logLik","grad_norm","alpha_grad_norm","hat_mu1","hat_mu2","hat_sigma1","hat_sigma2","hat_rho","hat_delta1","hat_delta2","hat_alpha1","hat_alpha2","hat_lambda1","hat_lambda2","hat_alpha_norm","hat_alpha_angle","true_mu1","true_mu2","true_sigma1","true_sigma2","true_rho","true_delta1","true_delta2","true_alpha1","true_alpha2","true_lambda1","true_lambda2","true_alpha_norm","true_alpha_angle","cover_obs_rho","cover_sand_rho","cover_obs_delta1","cover_sand_delta1","cover_obs_delta2","cover_sand_delta2","cover_obs_alpha1","cover_sand_alpha1","cover_obs_alpha2","cover_sand_alpha2","source_file"
"baseline_gaussian_n300","baseline_accuracy",1,"gaussian",300,6,TRUE,0,FALSE,-595.301785652105,0.69639973009813,0.03791225268653,0.297865973615786,-0.206273106580308,1.06437154756711,0.864196900013936,0.322365583603159,0.767007457682305,0.318624534042334,1.31461173686315,-0.978676974312431,1.5482336041744,-1.19633599565175,1.63890592736364,-36.6662403633531,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0000.csv"
"baseline_gaussian_n300","baseline_accuracy",129,"gaussian",300,6,TRUE,0,FALSE,-620.797012826422,0.0765979610354313,0.0351070623892222,0.339430194893716,-0.313106064936442,1.00525421434038,0.879693064659345,0.438887310917846,0.701193098407832,0.302215042812867,0.799138497465622,-0.571771123983112,1.07277993396121,-0.723356875968589,0.982621268013533,-35.5831288595788,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0000.csv"
"baseline_gaussian_n300","baseline_accuracy",257,"gaussian",300,6,TRUE,0,FALSE,-609.131345519684,0.078578938583359,0.0128809128874289,0.31061546389987,-0.191787170335176,1.01192806211771,0.879754246212804,0.243556183351188,0.699057447463273,0.437734756844213,1.05207359414517,-0.721223173415121,1.21864969902604,-0.845254042599017,1.2755476131327,-34.4316276090909,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0000.csv"
"baseline_gaussian_n300","baseline_accuracy",385,"gaussian",300,6,TRUE,0,FALSE,-604.340983705116,1.23785888791595,0.0282276221946936,0.267277176399143,-0.289066222895179,1.07945046298153,0.87734042014357,0.368372227372081,0.714198360225126,0.339293705066202,1.37017470431113,-0.778484525660923,1.55508613781958,-0.954441053902596,1.57588606092814,-29.60369747259,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0000.csv"
"baseline_gaussian_n300","baseline_accuracy",513,"gaussian",300,6,TRUE,0,TRUE,-596.059039036399,0.0203941916050303,0.00494964265506104,0.301958644162924,-0.20850440871864,1.15415386613314,0.841946875157082,0.372894615774825,0.767637611567723,0.368965965030922,1.13777937526279,-0.746106629077115,1.24560973949111,-0.955052715080529,1.36059435862648,-33.255134008625,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0000.csv"
"baseline_gaussian_n300","baseline_accuracy",641,"gaussian",300,6,TRUE,0,FALSE,-614.999942440065,0.0263478428656675,0.00644845013685524,0.300256090412928,-0.194746097439835,1.10305926707814,0.943205415814874,0.365242274905345,0.811466378847122,0.361184376905543,1.0809554902558,-0.809223546973107,1.26779522118987,-0.921623126995238,1.35029904868881,-36.8192145549016,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0000.csv"
"baseline_gaussian_n300","baseline_accuracy",769,"gaussian",300,6,TRUE,0,FALSE,-614.045290243714,0.0911818497174461,0.0167724761855868,0.30299256228067,-0.180632411998416,1.12524728773745,0.92754882543475,0.351277983044684,0.748598913966273,0.447120003799066,1.26056421451882,-0.712648047105406,1.35787166501852,-0.820609707835625,1.44806401031466,-29.4812360160564,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0000.csv"
"baseline_gaussian_n300","baseline_accuracy",897,"gaussian",300,6,TRUE,0,FALSE,-585.022022199637,0.0300043899555807,0.00501744205629743,0.254731045206158,-0.207718767010533,1.20030164319475,0.903887526189869,0.380891910219736,0.866152795590024,0.464739051096401,1.43186327836108,-0.669483703867597,1.42268686449776,-0.801055367812462,1.58064571541608,-25.0589660641161,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0000.csv"
"robust_rmse_gaussian","robust_rmse",1,"gaussian",300,6,TRUE,0,FALSE,-587.077738326088,0.0205571188643935,0.00843412698763773,0.302956673127698,-0.228397999187103,1.04571582125891,0.916454059085944,0.404252520397935,0.648698152010504,0.489076645525235,1.30348086114675,-1.02378154211913,1.67920198463274,-1.22135772428988,1.65746523383138,-38.1468434053106,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0000.csv"
"robust_rmse_gaussian","robust_rmse",129,"gaussian",300,6,TRUE,0,FALSE,-609.211288239043,0.0930078110650085,0.00933697334726688,0.560892239449375,-0.188131534022237,0.824948239170781,0.876175497422246,0.493250080824802,0.443751184156973,0.458730710540026,0.419537614486033,-0.472999851214124,0.833678355773657,-0.620592871644611,0.632250479807817,-48.4278728516656,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0000.csv"
