"generator","logLik","k","AIC","BIC","LR_lambda","p_lambda","alpha_norm","alpha_angle","ok","convergence","grad_norm","alpha_grad_norm"
"gaussian",-540.25127240507,9,1098.50254481014,1130.9547634068,17.9881536511648,0.00012414295101622,0.399857987918868,25.5345561066437,TRUE,0,0.0247277891891714,0.000558434260812938
"student-t(6)",-549.765057862097,9,1117.53011572419,1149.98233432086,21.634214825785,2.00534888294544e-05,0.415198302475817,13.6657402444691,TRUE,0,0.0210423050315118,0.00785136850840139
